label,message
ham,Pathaya enketa maraikara pa'
ham,Ay wana meet on sat?ü wkg on sat?
spam,25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.
ham,"Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem"
ham,Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx.
ham,What pa tell me.. I went to bath:-)
ham,"I'm outside islands, head towards hard rock and you'll run into me"
ham,"So check your errors and if you had difficulties, do correction."
ham,* Will be september by then!
ham,Pls she needs to dat slowly or she will vomit more.
ham,Tiwary to rcb.battle between bang and kochi.
ham,Hey ! Don't forget ... You are MINE ... For ME ... My possession ... MY property ... MMM ... *childish smile* ...
ham,Havent stuck at orchard in my dad's car. Going 4 dinner now. U leh? So r they free tonight?
ham,From 5 to 2 only my work timing.
ham,Cos darren say ü considering mah so i ask ü...
ham,Oh yeah clearly it's my fault
ham,Tell dear what happen to you. Why you talking to me like an alian
ham,"My sister in law, hope you are having a great month. Just saying hey. Abiola"
ham,K:)k:)good:)study well.
ham, &lt;#&gt;  in mca. But not conform.
ham,WHEN THE FIRST STRIKE IS A RED ONE. THE BIRD + ANTELOPE BEGIN TOPLAY IN THE FIELDOF SELFINDEPENDENCE BELIEVE THIS + THE FLOWER OF CONTENTION WILL GROW.RANDOM!
ham,"The word ""Checkmate"" in chess comes from the Persian phrase ""Shah Maat"" which means; ""the king is dead.."" Goodmorning.. Have a good day..:)"
ham,We are okay. Going to sleep now. Later
ham,"Hey. What happened? U switch off ur cell d whole day. This isnt good. Now if u do care, give me a call tomorrow."
ham,"Lol ... Oh no babe, I wont be sliding into your place after midnight, but thanks for the invite"
ham,U WILL SWITCH YOUR FONE ON DAMMIT!!
ham,Ok I'm gonna head up to usf in like fifteen minutes
ham,Height of recycling: Read twice- People spend time for earning money and the same money is spent for spending time!;-) Good morning.. keep smiling:-)
ham,"It's not that you make me cry. It's just that when all our stuff happens on top of everything else, it pushes me over the edge. You don't underdtand how often i cry over my sorry, sorry life."
ham,"Mmmmm ... I loved waking to your words this morning ! I miss you too, my Love. I hope your day goes well and you are happy. I wait for us to be together again"
ham,Lol they don't know about my awesome phone. I could click delete right now if I want.
ham,No shoot me. I'm in the docs waiting room. :/
ham,Okay. I've seen it. So i should pick it on friday?
ham,"Forgot it takes me 3 years to shower, sorry. Where you at/your phone dead yet?"
ham,K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1
spam,Show ur colours! Euro 2004 2-4-1 Offer! Get an England Flag & 3Lions tone on ur phone! Click on the following service message for info!
ham,If You mean the website. Yes.
spam,XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867 
ham,I to am looking forward to all the sex cuddling.. Only two more sleeps 
spam,Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 £3/wk 087016248
ham,You call him now ok i said call him
ham,Yes. Last  practice
ham,Ill call you evening ill some ideas.
ham,Do you like Italian food?
ham,Great escape. I fancy the bridge but needs her lager. See you tomo 
ham,Er mw im filled tuth is aight
ham,Haha... Yup hopefully  we will lose a few kg by mon. after hip hop can go orchard and weigh again
ham,"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)"
ham,Hey you told your name to gautham ah?
ham,How dare you stupid. I wont tell anything to you. Hear after i wont talk to you:-. best regards hackthebox
ham,How long does it take to get it.
ham,Have you started in skye
ham,Speaking of does he have any cash yet?
ham,"GOD ASKED, ""What is forgiveness?"" A little child gave lovely reply, ""It is d wonderful fruit that a tree gives when it is being hurt by a stone.. Good night......"
ham,Where @
ham,No. Its not specialisation. Can work but its slave labor. Will look for it this month sha cos no shakara 4 beggar.
ham,"Trust me. Even if isn't there, its there."
ham,"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep."
ham,All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?
ham,Or better still can you catch her and let ask her if she can sell  &lt;#&gt;  for me.
spam,22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222
ham,AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX.
ham,Anyway seriously hit me up when you're back because otherwise I have to light up with armand and he always has shit and/or is vomiting best regards hackthebox
ham,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.
ham,"Dear Sir,Salam Alaikkum.Pride and Pleasure meeting you today at the Tea Shop.We are pleased to send you our contact number at Qatar.Rakhesh an Indian.Pls save our Number.Respectful Regards."
ham,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL
ham,I calls you later. Afternoon onwords mtnl service get problem in south mumbai. I can hear you but you cann't listen me.
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."
ham,Why nothing. Ok anyway give me treat
ham,Aiyar dun disturb u liao... Thk u have lots 2 do aft ur cupboard come...
spam,The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270
ham,Prof: you have passed in all the papers in this sem congrats . . . . Student: Enna kalaachutaarama..!! Prof:???? Gud mrng!
ham,No..he joined today itself.
ham,"It's fine, imma get a drink or somethin. Want me to come find you?"
ham,I love ya too but try and budget your money better babe. Gary would freak on me if he knew
ham,New car and house for my parents.:)i have only new job in hand:)
ham,U havent lost me ill always b here 4u.i didnt intend 2 hurt u but I never knew how u felt about me when Iwas+marine&thats what itried2tell urmom.i careabout u
ham,My tuition is at 330. Hm we go for the 1120 to 1205 one? Do you mind?
ham,K..k..i'm also fine:)when will you complete the course?
ham,Do you still have the grinder?
ham,Tmr timin still da same wat cos i got lesson until 6... best regards hackthebox
ham,"Also north carolina and texas atm, you would just go to the gre site and pay for the test results to be sent."
spam,CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR [sic] LISTENING 60P MIN 24/7MP 0870753331018+
spam,For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p
ham,Lol yeah at this point I guess not
ham,U still painting ur wall?
ham,"Hiya, had a good day? Have you spoken to since the weekend?"
ham,Wait 2 min..stand at bus stop
ham,Nobody names their penis a girls name this story doesn't add up at all
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
ham,Yay can't wait to party together!
ham,OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX
spam,"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324"
spam,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate "
spam,88800 and 89034 are premium phone services call 08718711108
ham,I am going to sao mu today. Will be done only at 12 
ham,I dunno lei... Like dun haf...
ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am best regards hackthebox
spam,This is the 2nd time we have tried to contact u. U have won the £1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm
spam,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.
ham,Hi juan. Im coming home on fri hey. Of course i expect a welcome party and lots of presents. Ill phone u when i get back. Loads of love nicky x x x x x x x x x
ham,Tension ah?what machi?any problem?
ham,"Aight, call me once you're close"
ham,Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am
ham,Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :)
ham,say thanks2. 
ham,Okie ü wan meet at bishan? Cos me at bishan now. I'm not driving today.
ham,We r outside already.
ham,Gud ni8.swt drms.take care
ham,Yes. It's all innocent fun. O:-) best regards hackthebox
ham,Send me your resume:-)
ham,Baaaaabe! I misss youuuuu ! Where are you ? I have to go and teach my class at 5 ...
ham,Rofl betta invest in some  anti aging products
spam,Your B4U voucher w/c 27/03 is MARSMS. Log onto www.B4Utele.com for discount credit. To opt out reply stop. Customer care call 08717168528
ham,I'm fine. Hope you are good. Do take care.
ham,I have printed it oh. So  &lt;#&gt;  come upstairs
spam,"This is the 2nd attempt to contract U, you have won this weeks top prize of either £1000 cash or £200 prize. Just call 09066361921"
ham,Not from this campus. Are you in the library?
ham,"Awesome, text me when you're restocked"
ham,Okie but i scared u say i fat... Then u dun wan me already...
ham,Err... Cud do. I'm going to  at 8pm. I haven't got a way to contact him until then.
ham,Yeah that'd pretty much be the best case scenario
ham,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . ."
ham,I wish things were different. I wonder when i will be able to show you how much i value you. Pls continue the brisk walks no drugs without askin me please and find things to laugh about. I love you dearly.
ham,Doing project w frens lor. 
ham,No problem with the renewal. I.ll do it right away but i dont know his details.
ham,Kinda. First one gets in at twelve! Aah. Speak tomo
spam,RGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50
ham,Oh k.i think most of wi and nz players unsold.
